Day,it is Wednesday my dudes: (Worldwide)
2016-03-06,0
2016-03-07,0
2016-03-08,7
2016-03-09,7
2016-03-10,9
2016-03-11,2
2016-03-12,3
2016-03-13,11
2016-03-14,5
2016-03-15,12
2016-03-16,12
2016-03-17,17
2016-03-18,7
2016-03-19,8
2016-03-20,10
2016-03-21,5
2016-03-22,9
2016-03-23,31
2016-03-24,22
2016-03-25,13
2016-03-26,8
2016-03-27,14
2016-03-28,7
2016-03-29,11
2016-03-30,39
2016-03-31,28
2016-04-01,12
2016-04-02,16
2016-04-03,8
2016-04-04,14
2016-04-05,18
2016-04-06,65
2016-04-07,28
2016-04-08,32
2016-04-09,16
2016-04-10,11
2016-04-11,30
2016-04-12,11
2016-04-13,51
2016-04-14,38
2016-04-15,15
2016-04-16,19
2016-04-17,11
2016-04-18,18
2016-04-19,30
2016-04-20,96
2016-04-21,33
2016-04-22,44
2016-04-23,29
2016-04-24,31
2016-04-25,18
2016-04-26,14
2016-04-27,58
2016-04-28,49
2016-04-29,32
2016-04-30,27
2016-05-01,14
2016-05-02,17
2016-05-03,23
2016-05-04,100
2016-05-05,34
2016-05-06,32
2016-05-07,17
2016-05-08,16
2016-05-09,21
2016-05-10,32
2016-05-11,62
2016-05-12,31
2016-05-13,15
2016-05-14,8
2016-05-15,21
2016-05-16,16
2016-05-17,32
2016-05-18,58
2016-05-19,40
2016-05-20,27
2016-05-21,22
2016-05-22,16
2016-05-23,11
2016-05-24,7
2016-05-25,38
2016-05-26,37
2016-05-27,25
2016-05-28,11
2016-05-29,14
2016-05-30,19
2016-05-31,12
2016-06-01,45
2016-06-02,17
2016-06-03,12
2016-06-04,6
2016-06-05,11
2016-06-06,7
2016-06-07,24
2016-06-08,43
2016-06-09,21
2016-06-10,7
2016-06-11,5
2016-06-12,19
2016-06-13,12
2016-06-14,14
2016-06-15,31
2016-06-16,5
2016-06-17,10
2016-06-18,8
2016-06-19,6
2016-06-20,9
2016-06-21,0
2016-06-22,21
2016-06-23,15
2016-06-24,7
2016-06-25,6
2016-06-26,11
2016-06-27,0
2016-06-28,17
2016-06-29,34
2016-06-30,5
2016-07-01,13
2016-07-02,11
2016-07-03,15
2016-07-04,20
2016-07-05,23
2016-07-06,30
2016-07-07,18
2016-07-08,18
2016-07-09,6
2016-07-10,0
2016-07-11,2
2016-07-12,5
2016-07-13,28
2016-07-14,14
2016-07-15,5
2016-07-16,14
2016-07-17,14
2016-07-18,5
2016-07-19,8
2016-07-20,25
2016-07-21,13
2016-07-22,13
2016-07-23,6
